name,region,serial,rom_name,rom_size,rom_crc,rom_md5,rom_sha1,rom_serial,quantity
"Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare (Japan) (Disc 3) (Rev A)",Japan,HDR-0201-2,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1),Japan,HDR-0147,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1),Japan,HDR-0147-0,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1),Japan,HDR-0148,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1),Japan,HDR-0148-0,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1),Japan,HDR-0152,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1),Japan,HDR-0152-0,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1),Japan,HDR-0194,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1),Japan,HDR-0194-0,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1),Japan,HDR-0201,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 1),Japan,HDR-0201-0,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2),Japan,HDR-0147,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2),Japan,HDR-0147-1,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2),Japan,HDR-0148,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2),Japan,HDR-0148-1,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2),Japan,HDR-0152,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2),Japan,HDR-0152-1,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2),Japan,HDR-0194,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2),Japan,HDR-0194-1,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2),Japan,HDR-0201,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 2),Japan,HDR-0201-1,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3),Japan,HDR-0147,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3),Japan,HDR-0147-2,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3),Japan,HDR-0148,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3),Japan,HDR-0148-2,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3),Japan,HDR-0152,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3),Japan,HDR-0152-2,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3),Japan,HDR-0194,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3),Japan,HDR-0194-2,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3),Japan,HDR-0201,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Disc 3),Japan,HDR-0201-2,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka (Japan) (Tentou-you Demo Movie),Japan,610-8022,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka - Drama Download Disc (Japan),Japan,HDR-0191,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka - Drama Download Disc (Japan),Japan,HDR-0201,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka - Drama Download Disc (Japan),Japan,HDR-0202,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka - Preview Disc (Japan),Japan,HDR-0082,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka - Preview Disc (Japan),Japan,HDR-0108,,,,,,,0
Sakura Taisen 3 - Paris wa Moeteiru ka - Sakura Taisen 3 Movie Disc (Japan),Japan,HDR-0136,,,,,,,0
Sakura Taisen 4 - Koi seyo Otome (Japan),Japan,HDR-0191,,,,,,,0
Sakura Taisen 4 - Koi seyo Otome (Japan),Japan,HDR-0202,,,,,,,0
Sakura Taisen 4 - Koi seyo Otome (Japan) (Tentou-you Demo Movie),Japan,610-8333,,,,,,,0
Sakura Taisen 4 - Koi seyo Otome - Preview Disc (Japan),Japan,HDR-0184,,,,,,,0
Sakura Taisen 4 - Koi seyo Otome - Preview Disc (Japan),Japan,HDR-0189,,,,,,,0
Sakura Taisen Dream Passport 3 (Japan),Japan,610-7996,,,,,,,0
Sakura Taisen Kinematron Hanagumi Mail (Japan),Japan,HDR-0136,,,,,,,0
Sakura Taisen Online - Paris no Yuuga na Hibi (Japan),Japan,HDR-0185,,,,,,,0
Sakura Taisen Online - Paris no Yuuga na Hibi (Japan),Japan,HDR-0189,,,,,,,0
Sakura Taisen Online - Teito no Nagai Hibi (Japan),Japan,HDR-0184,,,,,,,0
Samba de Amigo (Europe),Europe,MK-51092-50,,,,,,,0
Samba de Amigo (Japan),Japan,HDR-0063,,,,,,,0
Samba de Amigo (USA),USA,51092,,,,,,,0
Samba de Amigo Ver. 2000 (Japan),Japan,HDR-0131,,,,,,,0
"San Francisco Rush 2049 (Europe) (En,Fr,De,Es,It,Nl)",Europe,T-9709D-50,,,,,,,0
"San Francisco Rush 2049 (USA) (En,Fr,De,Es,It,Nl)",USA,T-9707N,,,,,,,0
Sangokushi VI (Japan),Japan,T-7603M,,,,,,,0
Sangokushi VI with Power-Up Kit (Japan),Japan,T-7607M,,,,,,,0
"Satazius Next (USA, Japan)",USA,,,,,,,,0
Seaman (USA),USA,51048,,,,,,,0
Seaman Esa Disc - Kimos Shu no Youchuu Hojuu Kit (Japan),Japan,610-7804,,,,,,,0
Sega Bass Fishing (Europe),Europe,MK-51006-50,,,,,,,0
Sega Bass Fishing (USA),USA,51006,,,,,,,0
Sega Bass Fishing 2 (USA),USA,51166,,,,,,,0
"Sega Extreme Sports (Europe) (En,Fr,De,Es)",Europe,MK-51081-50,,,,,,,0
Sega Extreme Sports (Japan),Japan,HDR-0146,,,,,,,0
"Sega GT (Europe) (En,Fr,De,Es)",Europe,950-0103-50,,,,,,,0
"Sega GT (Europe) (En,Fr,De,Es)",Europe,MK-51053-50,,,,,,,0
Sega GT (USA),USA,MK-51053,,,,,,,0
Sega GT - Homologation Special (Japan),Japan,HDR-0054,,,,,,,0
Sega GT - Homologation Special (Japan) (Taikenban),Japan,610-7727,,,,,,,0
Sega Marine Fishing (Japan),Japan,HDR-0104,,,,,,,0
Sega Marine Fishing (USA),USA,51096,,,,,,,0
Sega Rally 2 (Europe),Europe,MK-51019-50,,,,,,,0
Sega Rally 2 (Europe) (Rev 1),Europe,MK-51019-50,,,,,,,0
Sega Rally 2 (Japan) (Alt),Japan,HDR-0010,,,,,,,0
Sega Rally 2 (USA),USA,51019,,,,,,,0
Sega Smash Pack - Volume 1 (USA),USA,51146,,,,,,,0
Sega Tetris (Japan) (Rev A),Japan,HDR-0073,,,,,,,0
Sega Worldwide Soccer 2000 (Europe) (Beta),Europe,952-0007-50,,,,,,,0
"Sega Worldwide Soccer 2000 (Europe) (En,Fr,De,Es)",Europe,MK-51031-50,,,,,,,0
"Sega Worldwide Soccer 2000 - Euro Edition (Europe) (En,Fr,De,Es)",Europe,MK-51083-50,,,,,,,0
SegaKara for Dreamcast (Japan),Japan,610-7762,,,,,,,0
Seireiki Rayblade (Japan),Japan,T-42201M,,,,,,,0
Seireiki Rayblade (Japan) (Video ROM),Japan,610-7747,,,,,,,0
Seitai Heiki Expendable (Japan),Japan,T-15003M,,,,,,,0
Sekai Fushigi Hakken! Troia (Japan),Japan,T-39701M,,,,,,,0
Sengoku Turb (Japan),Japan,T-38801M,,,,,,,0
Sengoku Turb (Japan) (Taikenban),Japan,610-7103,,,,,,,0
Sengoku Turb - Fanfan I Love Me Dunce-doublentendre (Japan),Japan,T-38805M,,,,,,,0
Sentimental Graffiti - Yakusoku (Japan),Japan,T-20128M,,,,,,,0
Sentimental Graffiti 2 (Japan) (Disc 1),Japan,T-20104M,,,,,,,0
Sentimental Graffiti 2 (Japan) (Disc 1),Japan,T-20104M-0,,,,,,,0
Sentimental Graffiti 2 (Japan) (Disc 2),Japan,T-20104M,,,,,,,0
Sentimental Graffiti 2 (Japan) (Disc 2),Japan,T-20104M-1,,,,,,,0
Sentimental Graffiti 2 - Third Window (Japan),Japan,610-7749,,,,,,,0
Seventh Cross (Japan),Japan,T-38802M,,,,,,,0
Seventh Cross Evolution (USA),USA,T-41301N,,,,,,,0
"Shadow Man (Europe) (En,Fr,Es,It)",Europe,T-8104D-50,,,,,,,0
Shadow Man (Germany),Germany,T-8104D-18,,,,,,,0
Shadow Man (USA),USA,T-8106N,,,,,,,0
Shadow Man (USA) (Rev A),USA,T-8106N,,,,,,,0
Shanghai - Dynasty (Japan),Japan,T-9902M,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Disc 1)",Europe,952-0102-50,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Disc 1)",Europe,952-0102-50-0,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Disc 1)",Europe,MK-51059-50,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Disc 1)",Europe,MK-51059-50-0,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Disc 2)",Europe,952-0102-50,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Disc 2)",Europe,952-0102-50-1,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Disc 2)",Europe,MK-51059-50,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Disc 2)",Europe,MK-51059-50-1,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Disc 3)",Europe,952-0102-50,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Disc 3)",Europe,952-0102-50-2,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Disc 3)",Europe,MK-51059-50,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Disc 3)",Europe,MK-51059-50-2,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Shenmue Passport)",Europe,952-0102-50,,,,,,,0
"Shenmue (Europe) (En,Fr,De,Es) (Shenmue Passport)",Europe,MK-51059-50,,,,,,,0
Shenmue (USA) (Disc 1),USA,51059,,,,,,,0
Shenmue (USA) (Disc 1),USA,51059-0,,,,,,,0
Shenmue (USA) (Disc 1),USA,51131,,,,,,,0
Shenmue (USA) (Disc 1),USA,51131-0,,,,,,,0
Shenmue (USA) (Disc 2),USA,51059,,,,,,,0
Shenmue (USA) (Disc 2),USA,51059-1,,,,,,,0
Shenmue (USA) (Disc 3),USA,51059,,,,,,,0
Shenmue (USA) (Disc 3),USA,51059-2,,,,,,,0
Shenmue (USA) (Shenmue Passport),USA,51059,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Disc 1),Japan,HDR-0016,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Disc 1),Japan,HDR-0016-0,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Disc 1),Japan,HDR-0031,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Disc 1),Japan,HDR-0031-0,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Disc 2),Japan,HDR-0016,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Disc 2),Japan,HDR-0016-1,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Disc 2),Japan,HDR-0031,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Disc 2),Japan,HDR-0031-1,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Disc 3),Japan,HDR-0016,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Disc 3),Japan,HDR-0016-2,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Disc 3),Japan,HDR-0031,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Disc 3),Japan,HDR-0031-2,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Shenmue Passport) (Rev C),Japan,HDR-0031,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Shenmue Passport) (Rev D),Japan,HDR-0016,,,,,,,0
Shenmue - Isshou Yokosuka (Japan) (Shenmue Passport) (Rev D),Japan,HDR-0031,,,,,,,0
"Shenmue II (Europe) (En,Fr,De,Es) (Disc 1)",Europe,MK-51184-50,,,,,,,0
"Shenmue II (Europe) (En,Fr,De,Es) (Disc 1)",Europe,MK-51184-50-0,,,,,,,0
"Shenmue II (Europe) (En,Fr,De,Es) (Disc 2)",Europe,MK-51184-50,,,,,,,0
"Shenmue II (Europe) (En,Fr,De,Es) (Disc 2)",Europe,MK-51184-50-1,,,,,,,0
"Shenmue II (Europe) (En,Fr,De,Es) (Disc 3)",Europe,MK-51184-50,,,,,,,0
"Shenmue II (Europe) (En,Fr,De,Es) (Disc 3)",Europe,MK-51184-50-2,,,,,,,0
"Shenmue II (Europe) (En,Fr,De,Es) (Disc 4)",Europe,MK-51184-50,,,,,,,0
"Shenmue II (Europe) (En,Fr,De,Es) (Disc 4)",Europe,MK-51184-50-3,,,,,,,0
Shenmue II (Japan) (Disc 1),Japan,HDR-0164,,,,,,,0
Shenmue II (Japan) (Disc 1),Japan,HDR-0164-0,,,,,,,0
Shenmue II (Japan) (Disc 1),Japan,HDR-0179,,,,,,,0
Shenmue II (Japan) (Disc 1),Japan,HDR-0179-0,,,,,,,0
Shenmue II (Japan) (Disc 2),Japan,HDR-0164,,,,,,,0
Shenmue II (Japan) (Disc 2),Japan,HDR-0164-1,,,,,,,0
Shenmue II (Japan) (Disc 2),Japan,HDR-0179,,,,,,,0
Shenmue II (Japan) (Disc 2),Japan,HDR-0179-1,,,,,,,0
Shenmue II (Japan) (Disc 3),Japan,HDR-0164,,,,,,,0
Shenmue II (Japan) (Disc 3),Japan,HDR-0164-2,,,,,,,0
Shenmue II (Japan) (Disc 3),Japan,HDR-0179,,,,,,,0
Shenmue II (Japan) (Disc 3),Japan,HDR-0179-2,,,,,,,0
Shenmue II (Japan) (Disc 4),Japan,HDR-0164,,,,,,,0
Shenmue II (Japan) (Disc 4),Japan,HDR-0164-3,,,,,,,0
Shenmue II (Japan) (Disc 4),Japan,HDR-0179,,,,,,,0
Shenmue II (Japan) (Disc 4),Japan,HDR-0179-3,,,,,,,0
Shikigami no Shiro II (Japan),Japan,T-47701M,,,,,,,0
Shikigami no Shiro II (Japan),Japan,T-47702M,,,,,,,0
Shin Honkaku Hanafuda (Japan),Japan,T-16601M,,,,,,,0
Shin Nihon Pro Wrestling - Toukon Retsuden 4 (Japan),Japan,T-28202M,,,,,,,0
Shin Seiki Evangelion - Ayanami Ikusei Keikaku (Japan),Japan,T-46303M,,,,,,,0
Shin Seiki Evangelion - Typing E Keikaku (Japan),Japan,T-35101M,,,,,,,0
Shin Seiki Evangelion - Typing Hokan Keikaku (Japan),Japan,T-35102M,,,,,,,0
Shinki Sekai Evolution (Japan),Japan,T-38701M,,,,,,,0
Shinki Sekai Evolution (Japan) (Taikenban),Japan,610-7039,,,,,,,0
Shinki Sekai Evolution 2 - Tooi Yakusoku (Japan),Japan,T-38703M,,,,,,,0
"Shinri Game, The (Japan)",Japan,T-43403M,,,,,,,0
Shirotsumesouwa - Episode of the Clovers (Japan),Japan,T-20123M,,,,,,,0
Shirotsumesouwa - Episode of the Clovers (Japan),Japan,T-20125M,,,,,,,0
Shutokou Battle (Japan),Japan,T-30801M,,,,,,,0
Shutokou Battle (Japan) (Taikenban),Japan,610-7134,,,,,,,0
Shutokou Battle 2 (Japan),Japan,T-30803M,,,,,,,0
"Silent Scope (Europe) (En,Fr,De,Es,It)",Europe,T-9505D-50,,,,,,,0
Silent Scope (Japan),Japan,T-9513M,,,,,,,0
Silent Scope (USA),USA,T-9507N,,,,,,,0
"Silver (Europe) (En,Nl)",Europe,T-15109D-91,,,,,,,0
"Silver (France) (Fr,It,Pt)",France,T-15109D-92,,,,,,,0
Silver (Germany),Germany,T-15109D-18,,,,,,,0
Silver (Spain),Spain,T-15109D-06,,,,,,,0
Silver (USA),USA,T-15108N,,,,,,,0
Simple 2000 Series DC Vol. 01 - Bittersweet Fools - The Ren'ai Adventure (Japan),Japan,T-47401M,,,,,,,0
Simple 2000 Series DC Vol. 02 - Natsuiro Celebration - The Ren'ai Simulation (Japan),Japan,T-47404M,,,,,,,0
Simple 2000 Series DC Vol. 03 - Fureai - The Ren'ai Simulation (Japan),Japan,T-47402M,,,,,,,0
Simple 2000 Series DC Vol. 04 - Okaeri! The Ren'ai Adventure (Japan),Japan,T-47403M,,,,,,,0
Sister Princess - Premium Edition (Japan) (Disc 1),Japan,T-27802M,,,,,,,0
Sister Princess - Premium Edition (Japan) (Disc 1),Japan,T-27802M-0,,,,,,,0
Sister Princess - Premium Edition (Japan) (Disc 2),Japan,T-27802M,,,,,,,0
Sister Princess - Premium Edition (Japan) (Disc 2),Japan,T-27802M-1,,,,,,,0
"Skies of Arcadia (Europe) (En,Fr,De,Es) (Disc 1)",Europe,MK-51052-50,,,,,,,0
"Skies of Arcadia (Europe) (En,Fr,De,Es) (Disc 1)",Europe,MK-51052-50-0,,,,,,,0
"Skies of Arcadia (Europe) (En,Fr,De,Es) (Disc 2)",Europe,MK-51052-50,,,,,,,0
"Skies of Arcadia (Europe) (En,Fr,De,Es) (Disc 2)",Europe,MK-51052-50-1,,,,,,,0
Skies of Arcadia (USA) (Disc 1),USA,51052,,,,,,,0
Skies of Arcadia (USA) (Disc 1),USA,51052-0,,,,,,,0
Skies of Arcadia (USA) (Disc 2),USA,51052,,,,,,,0
Skies of Arcadia (USA) (Disc 2),USA,51052-1,,,,,,,0
"Slave Zero (Europe) (En,Fr,De,Es,It)",Europe,T-15104D-50,,,,,,,0
Slave Zero (USA),USA,T-15106N,,,,,,,0
Slave Zero (USA) (Rev A),USA,T-15106N,,,,,,,0
"SnoCross Championship Racing (Europe) (En,Fr,De)",Europe,830-0223-50,,,,,,,0
"SnoCross Championship Racing (Europe) (En,Fr,De)",Europe,T-17722D-50,,,,,,,0
SnoCross Championship Racing (USA),USA,T-40207N,,,,,,,0
Snow (Japan),Japan,T-20132M,,,,,,,0
Snow Surfers (Europe),Europe,MK-51010-50,,,,,,,0
Soldier of Fortune (Europe),Europe,T-17726D-50,,,,,,,0
Soldier of Fortune (USA),USA,T-40212N,,,,,,,0
"Sonic Adventure (Europe) (En,Ja,Fr,De,Es)",Europe,MK-51000-50,,,,,,,0
Sonic Adventure (Japan),Japan,HDR-0001,,,,,,,0
Sonic Adventure (USA),USA,51000,,,,,,,0
"Sonic Adventure (USA) (En,Ja,Fr,De,Es) (Rev A)",USA,51000,,,,,,,0
Sonic Adventure - Limited Edition (USA),USA,SDC-51014,,,,,,,0
"Sonic Adventure 2 (Europe) (En,Ja,Fr,De,Es)",Europe,952-0161-50,,,,,,,0
"Sonic Adventure 2 (Europe) (En,Ja,Fr,De,Es)",Europe,MK-51117-50,,,,,,,0
"Sonic Adventure 2 (Europe) (En,Ja,Fr,De,Es) (Beta)",Europe,MK-5111750,,,,,,,0
"Sonic Adventure 2 (Japan) (En,Ja,Fr,De,Es)",Japan,HDR-0165,,,,,,,0
"Sonic Adventure 2 (Japan) (En,Ja,Fr,De,Es) (Taikenban)",Japan,610-8057,,,,,,,0
"Sonic Adventure 2 (USA) (En,Ja,Fr,De,Es)",USA,51117,,,,,,,0
"Sonic Adventure 2 - The Trial (Europe) (En,Ja)",Europe,610-7994-50,,,,,,,0
"Sonic Adventure 2 - The Trial (USA, Japan) (En,Ja)",USA,51100,,,,,,,0
"Sonic Adventure 2 - The Trial (USA, Japan) (En,Ja)",USA,HDR-0129,,,,,,,0
"Sonic Adventure International (Japan) (En,Ja,Fr,De,Es)",Japan,HDR-0043,,,,,,,0
"Sonic Shuffle (Europe) (En,Fr,De,Es)",Europe,MK-51060-50,,,,,,,0
Sonic Shuffle (Japan),Japan,HDR-0125,,,,,,,0
Sonic Shuffle (USA),USA,51060,,,,,,,0
Sorcerian - Shichisei Mahou no Shito (Japan),Japan,T-9102M,,,,,,,0
Soukou no Kihei - Space Griffon (Japan),Japan,T-39601M,,,,,,,0
Soul Fighter (Europe),Europe,T-41401D-61,,,,,,,0
Soul Fighter (USA),USA,T-41401N,,,,,,,0
"Soulcalibur (Europe) (En,Fr,De,Es)",Europe,T-1401D-50,,,,,,,0
Soulcalibur (Japan),Japan,T-1401M,,,,,,,0
Soulcalibur (Japan) (Tentou Taikenban),Japan,610-7173,,,,,,,0
Soulcalibur (Japan) (Tokubetsu Taikenban),Japan,610-7175,,,,,,,0
Soulcalibur (USA),USA,T-1401N,,,,,,,0
South Park - Chef's Luv Shack (Europe),Europe,T-8105D-50,,,,,,,0
South Park - Chef's Luv Shack (USA),USA,T-8105N,,,,,,,0
"South Park Rally (Europe) (En,Fr,De,Es)",Europe,T-8112D-50,,,,,,,0
South Park Rally (USA),USA,T-8116N,,,,,,,0
"Space Channel 5 (Europe) (En,Fr,De,Es)",Europe,MK-51051-50,,,,,,,0
"Space Channel 5 (Europe) (En,Fr,De,Es) (Beta)",Europe,952-0083-50,,,,,,,0
Space Channel 5 (Japan),Japan,HDR-0029,,,,,,,0
Space Channel 5 (Japan),Japan,HDR-0140,,,,,,,0
Space Channel 5 (Japan) (Taikenban),Japan,610-7368,,,,,,,0
Space Channel 5 (USA),USA,51051,,,,,,,0
Space Channel 5 Part 2 (Japan),Japan,HDR-0190,,,,,,,0
Space Channel 5 Theme Music - Mexican Flyer (Japan),Japan,,,,,,,,0
Spawn - In the Demon's Hand (Europe),Europe,T-36816D-50,,,,,,,0
Spawn - In the Demon's Hand (Japan),Japan,T-1216M,,,,,,,0
Spawn - In the Demon's Hand (USA),USA,T-1216N,,,,,,,0
"Spec Ops II - Omega Squad (Europe) (En,Fr,De,Es,It)",Europe,T-45004D-50,,,,,,,0
Spec Ops II - Omega Squad (USA),USA,T-41704N,,,,,,,0
"Speed Devils (Europe) (En,Fr,De,Es,It)",Europe,T-17702D-50,,,,,,,0
Speed Devils (Japan),Japan,T-17702M,,,,,,,0
Speed Devils (USA),USA,T-17702N,,,,,,,0
Speed Devils - Online Racing (Europe),Europe,T-17713D-50,,,,,,,0
Speed Devils - Online Racing (USA),USA,T-17718N,,,,,,,0
Spider-Man (Europe),Europe,T-13011D-50,,,,,,,0
Spider-Man (USA),USA,T-13008N,,,,,,,0
"Spirit of Speed 1937 (Europe) (En,Fr,De,Es)",Europe,T-8117D-50,,,,,,,0
Spirit of Speed 1937 (Japan),Japan,T-8102M,,,,,,,0
"Spirit of Speed 1937 (USA) (En,Fr,De,Es)",USA,T-8118N,,,,,,,0
Sports Jam (Japan),Japan,HDR-0153,,,,,,,0
Sports Jam (USA),USA,T-44304N,,,,,,,0
Star Gladiator 2 - Nightmare of Bilstein (Japan),Japan,T-1204M,,,,,,,0
Star Gladiator 2 - Nightmare of Bilstein (Japan) (Tentou Taikenban),Japan,610-7181,,,,,,,0
Star Wars - Demolition (Europe),Europe,830-0215-50,,,,,,,0
Star Wars - Demolition (Europe),Europe,T-13010D-50,,,,,,,0
Star Wars - Demolition (USA),USA,T-23003N,,,,,,,0
Star Wars - Episode I - Jedi Power Battles (Europe),Europe,T-23002D-50,,,,,,,0
Star Wars - Episode I - Jedi Power Battles (USA),USA,T-23002N,,,,,,,0
Star Wars - Episode I - Racer (Europe),Europe,T-13006D-50,,,,,,,0
Star Wars - Episode I - Racer (USA),USA,T-23001N,,,,,,,0
StarLancer (Europe),Europe,T-17723D-05,,,,,,,0
StarLancer (USA),USA,T-40209N,,,,,,,0
Street Fighter Alpha 3 (Europe),Europe,T-7005D-50,,,,,,,0
Street Fighter Alpha 3 (USA),USA,T-1203N,,,,,,,0
Street Fighter III - 3rd Strike (Europe),Europe,T-7013D-50,,,,,,,0
Street Fighter III - 3rd Strike (USA),USA,T-1213N,,,,,,,0
Street Fighter III - 3rd Strike - Fight for the Future (Japan),Japan,T-1209M,,,,,,,0
Street Fighter III - Double Impact (Europe),Europe,T-7006D-50,,,,,,,0
Street Fighter III - Double Impact (USA),USA,T-1210N,,,,,,,0
Street Fighter III - W Impact (Japan),Japan,T-1211M,,,,,,,0
Street Fighter Zero 3 - Saikyo-ryu Dojo (Japan),Japan,T-1203M,,,,,,,0
Street Fighter Zero 3 - Saikyo-ryu Dojo (Japan) (Tentou Taikenban),Japan,610-7161,,,,,,,0
Street Fighter Zero 3 - Saikyo-ryu Dojo for Matching Service (Japan),Japan,T-1230M,,,,,,,0
Striker Pro 2000 (USA),USA,T-15111N,,,,,,,0
"Stunt GP (Europe) (En,Fr,De,Es,It,Nl,Sv)",Europe,T-22904D-50,,,,,,,0
"Stupid Invaders (Europe) (En,Fr,De,It) (Disc 1)",Europe,T-17711D-71,,,,,,,0
"Stupid Invaders (Europe) (En,Fr,De,It) (Disc 1)",Europe,T-17711D-71-0,,,,,,,0
"Stupid Invaders (Europe) (En,Fr,De,It) (Disc 2)",Europe,T-17711D-71,,,,,,,0
"Stupid Invaders (Europe) (En,Fr,De,It) (Disc 2)",Europe,T-17711D-71-1,,,,,,,0
Stupid Invaders (France) (Disc 1),France,T-17711D-09,,,,,,,0
Stupid Invaders (France) (Disc 1),France,T-17711D-09-0,,,,,,,0
Stupid Invaders (France) (Disc 2),France,T-17711D-09,,,,,,,0
Stupid Invaders (France) (Disc 2),France,T-17711D-09-1,,,,,,,0
Stupid Invaders (USA) (Disc 1),USA,T-17708N,,,,,,,0
Stupid Invaders (USA) (Disc 1),USA,T-17708N-0,,,,,,,0
Stupid Invaders (USA) (Disc 2),USA,T-17708N,,,,,,,0
Stupid Invaders (USA) (Disc 2),USA,T-17708N-1,,,,,,,0
Sturmwind (Europe) (Rerelease),Europe,,,,,,,,0
Suigetsu - Mayoigokoro (Japan) (Disc 1),Japan,T-19725M,,,,,,,0
Suigetsu - Mayoigokoro (Japan) (Disc 1),Japan,T-19725M-0,,,,,,,0
Suigetsu - Mayoigokoro (Japan) (Disc 2),Japan,T-19725M,,,,,,,0
Suigetsu - Mayoigokoro (Japan) (Disc 2),Japan,T-19725M-1,,,,,,,0
Suika (Japan),Japan,T-46508M,,,,,,,0
Suika (Japan),Japan,T-46509M,,,,,,,0
Sunrise Eiyuutan (Japan),Japan,T-41101M,,,,,,,0
Super Euro Soccer 2000 (Japan),Japan,T-15006M,,,,,,,0
Super Game Converter (USA),USA,,,,,,,,0
"Super Magnetic Neo (Europe) (En,Fr,De)",Europe,T-40206D-50,,,,,,,0
Super Magnetic Neo (USA),USA,T-40206N,,,,,,,0
Super Magnetic Niuniu (Japan),Japan,T-30802M,,,,,,,0
Super Magnetic Niuniu - Promotion Disc (Japan),Japan,610-7386,,,,,,,0
Super Producers - Mezase Show Biz Kai (Japan),Japan,T-14303M,,,,,,,0
Super Puzzle Fighter II X for Matching Service (Japan),Japan,T-1250M,,,,,,,0
Super Robot Taisen Alpha (Japan),Japan,T-20602M,,,,,,,0
Super Runabout (Japan),Japan,T-22101M,,,,,,,0
Super Runabout (Japan) (Rev A),Japan,T-22101M,,,,,,,0
Super Runabout (Japan) (Taikenban),Japan,610-7803,,,,,,,0
